Nr;Film;Erscheinungsjahr;Regisseur;Genre;Bewertung
199;Haywire;2011;Steven Soderbergh;;5
200;Hänsel & Gretel: Hexenjäger;2013;Tommy Wirkola;;6
201;Herz aus Stahl;2014;David Ayer;;9
202;Hidden Figures: Unerkannte Heldinnen;2016;Theodore Melfi;;9
203;Hitman: Agent 47;2015;Aleksander Bach;;8
204;Hitman: Jeder stirbt alleine;2007;Xavier Gens;;7
205;Homefront;2013;Gary Fleder;;8
206;Honig im Kopf;2014;Til Schweiger;;7
207;Hot Dog;2018;Torsten KÃ¼nstler;;6
208;How to Be Single;2016;Christian Ditter;;6
209;I, Frankenstein;2014;Stuart Beattie;;7
210;Ich: Einfach unverbesserlich;2010;Pierre Coffin;;5
211;Ich: Einfach unverbesserlich 2;2013;Pierre Coffin;;5
212;Illuminati;2009;Ron Howard;;8
213;The Da Vinci Code: Sakrileg;;;;8
214;Inception;2010;Christopher Nolan;;7
215;Indiana Jones - Jäger des verlorenen Schatzes;1981;Steven Spielberg;;10
216;Indiana Jones und das Königreich des KristallschÃ¤dels;2008;Steven Spielberg;;10
217;Indiana Jones und der Tempel des Todes;1984;Steven Spielberg;;10
218;Indiana Jones und der letzte Kreuzzug;1989;Steven Spielberg;;10
219;Inferno;2016;Ron Howard;;7
220;Inglourious Basterds;2009;Quentin Tarantino;;9
221;Inside Man;2006;Spike Lee;;8
222;Into the White;2012;Petter NÃ¦ss;;9
223;Into the Woods;2014;Rob Marshall;;
224;Ip Man;2008;Wilson Yip;;6
225;Ip Man 2;2010;Wilson Yip;;5
226;Ip Man Zero;2010;Herman Yau;;5
227;Iron Man;2008;Jon Favreau ;;8
228;Iron Man 2;2010;Jon Favreau ;;7
229;Iron Man 3;2013;Shane Black;;7
230;Jack Reacher;2012;Christopher McQuarrie;;9
231;Jack Reacher: Kein Weg zurück;2016;Edward Zwick;;8
232;Jack Ryan: Shadow Recruit;2014;Kenneth Branagh;;7
233;Jack and the Giants;2013;Bryan Singer;;7
234;Jarhead: Willkommen im Dreck;2005;Sam Mendes;;8
235;Jason Bourne;2016;Paul Greengrass;;7
236;Jim Knopf & Lukas der Lokomotivführer;2018;Dennis Gansel;;8
237;John Wick;2014;Chad Stahelski;;10
238;John Wick: Kapitel 2;2017;Chad Stahelski;;9
239;Jurassic Park;1993;Steven Spielberg;;7
240;Jurassic Park III;2001;Joe Johnston;;7
241;Jurassic World;2015;Colin Trevorrow;;8
242;Jurassic World: Das gefallene Königreich;2018;J.A. Bayona;;8
243;Justice League;2017;Zack Snyder;;8
244;Kampf der Kobolde;1999;John Henderson;;
245;Kampf der Titanen;2010;Louis Leterrier;;
246;Kill Bill: Volume 1;2003;Quentin Tarantino;;8
247;Kill Bill: Volume 2;2004;Quentin Tarantino;;8
248;Killer Elite;2011;Gary McKendry;;
249;Killing Them Softly;2012;Andrew Dominik;;5
250;Kindsköpfe 2;2013;Dennis Dugan;;5
251;King Arthur: Legend of the Sword;2017;Guy Ritchie;;7
252;Kingsman: The Secret Service;2014;Matthew Vaughn;;8
253;Knight and Day;2010;James Mangold;;6
254;Kong: Skull Island;2017;Jordan Vogt-Roberts;;7
255;Küss den Frosch;2009;Ron Clements;Disney;0
256;Last Vegas;2013;Jon Turteltaub;;8
257;Legend of Tarzan;2016;David Yates;;7
258;Legend: Aufstieg und Fall zweier berüchtigter Brüder;2015;Brian Helgeland;;9
259;Les Misérables;2012;Tom Hooper;Musical;5
260;Lincoln;2012;Steven Spielberg;;7
261;Lockout;2012;Steve Saint Leger;;7
262;Logan: The Wolverine;2017;James Mangold;;8
263;Lone Survivor;2013;Peter Berg;;
264;Love, Rosie - Für immer vielleicht;2014;Christian Ditter;;
265;Lucy;2014;Luc Besson;;7
266;M:I-2;2000;John Woo;;7
267;Madagascar;2005;Eric Darnell;Disney;0
268;Magic Mike;2012;Steven Soderbergh;;6
269;Magic Mike XXL;2015;Gregory Jacobs;;6
270;Maleficent: Die dunkle Fee;2014;Robert Stromberg;Fantasy;7
271;Man On Fire: Mann unter Feuer;2004;Tony Scott;;
272;Man of Steel;2013;Zack Snyder;;7
273;Marvel's The Avengers;2012;Joss Whedon;;8
274;Maze Runner: Die Auserwählten in der Todeszone;2018;Wes Ball;;7
275;Mechanic: Resurrection;2016;Dennis Gansel;;6
276;Mein Freund, der Delfin;2011;Charles Martin Smith;;5
277;Men in Black;1997;Barry Sonnenfeld;;8
278;Men in Black 3;2012;Barry Sonnenfeld;;7
279;Men in Black II;2002;Barry Sonnenfeld;;7
280;Merida - Legende der Highlands;2012;Mark Andrews;Disney;0
281;Mile 22;2018;Peter Berg;;6
282;Mission: Impossible;1996;Brian De Palma;;7
283;Mission: Impossible - Phantom Protokoll;2011;Brad Bird;;8
284;Mission: Impossible III;2006;J.J. Abrams;;7
285;Mission: Impossible: Fallout;2018;Christopher McQuarrie;;8
