;Name;Jahr;IMDB;Laufzeit;Regisseur
3;Game of Thrones: Die komplette zweite Staffel;2011;tt0944947;543;Alan Taylor
165;Gamer;2009;tt1034032;94;Mark Neveldine
164;Gangster Squad;2013;tt1321870;113;Ruben Fleischer
381;Ghost in the Shell;2017;tt1219827;107;Rupert Sanders
160;Gladiator;2000;tt0172495;155;Ridley Scott
161;Gods of Egypt;2016;tt2404233;128;Alex Proyas
159;Godzilla;2014;tt0831387;123;Gareth Edwards
158;Green Lantern;2011;tt1133985;123;Martin Campbell
387;Guardians of the Galaxy;2014;tt2015381;121;James Gunn
383;Guardians of the Galaxy Vol. 2;2016;tt3896198;136;James Gunn
369;Hacksaw Ridge: Die Entscheidung;2016;tt2119532;139;Mel Gibson
156;Hancock;2008;tt0448157;102;Peter Berg
50;Harry Potter und der Feuerkelch;2005;tt0330373;157;Mike Newell
49;Harry Potter und der Gefangene von Askaban;2004;tt0304141;142;Alfonso Cuarón
52;Harry Potter und der Halbblutprinz;2009;tt0417741;153;David Yates
51;Harry Potter und der Orden des Phönix;2007;tt0373889;138;David Yates
47;Harry Potter und der Stein der Weisen;2001;tt0241527;152;Chris Columbus
53;Harry Potter und die Heiligtümer des Todes: Teil 1;2010;tt0926084;146;David Yates
54;Harry Potter und die Heiligtümer des Todes: Teil 2;2011;tt1201607;130;David Yates
48;Harry Potter und die Kammer des Schreckens;2002;tt0295297;161;Chris Columbus
46;Harry Potter: Complete Collection;;;1179;
154;Haywire;2011;tt1506999;93;Steven Soderbergh
155;Hänsel & Gretel: Hexenjäger;2013;tt1428538;98;Tommy Wirkola
153;Herz aus Stahl;2014;tt2713180;134;David Ayer
408;Hidden Figures: Unerkannte Heldinnen;2016;tt4846340;127;Theodore Melfi
66;Hitman: Agent 47;2015;tt2679042;96;Aleksander Bach
152;Hitman: Jeder stirbt alleine;2007;tt0465494;94;Xavier Gens
147;Homefront;2013;tt2312718;100;Gary Fleder
148;Honig im Kopf;2014;tt3488462;139;Til Schweiger
450;Hot Dog;2018;tt6284564;105;Torsten Künstler
262;How to Be Single;2016;tt1292566;110;Christian Ditter
145;I, Frankenstein;2014;tt1418377;93;Stuart Beattie
419;Ich: Einfach unverbesserlich;2010;tt1323594;95;Pierre Coffin
420;Ich: Einfach unverbesserlich 2;2013;tt1690953;98;Pierre Coffin
143;Illuminati;2009;tt0808151;146;Ron Howard
142;Illuminati / The Da Vinci Code: Sakrileg;;;320;
141;Inception;2010;tt1375666;148;Christopher Nolan
6;Indiana Jones - Jäger des verlorenen Schatzes;1981;tt0082971;115;Steven Spielberg
9;Indiana Jones und das Königreich des Kristallschädels;2008;tt0367882;123;Steven Spielberg
7;Indiana Jones und der Tempel des Todes;1984;tt0087469;118;Steven Spielberg
8;Indiana Jones und der letzte Kreuzzug;1989;tt0097576;127;Steven Spielberg
10;Indiana Jones: Bonus Features;;;0;Steven Spielberg
5;Indiana Jones: The Complete Adventures;;;483;
352;Inferno;2016;tt3062096;121;Ron Howard
138;Inglourious Basterds;2009;tt0361748;154;Quentin Tarantino
140;Inside Man;2006;tt0454848;128;Spike Lee
452;Into the White;2012;tt1876277;104;Petter Næss
139;Into the Woods;2014;tt2180411;125;Rob Marshall
136;Ip Man;2008;tt1220719;106;Wilson Yip
137;Ip Man 2;2010;tt1386932;109;Wilson Yip
134;Ip Man Trilogy;;;314;
135;Ip Man Zero;2010;tt1641638;100;Herman Yau
132;Iron Man;2008;tt0371746;126;Jon Favreau 
131;Iron Man / Iron Man 2;;;251;
133;Iron Man 2;2010;tt1228705;125;Jon Favreau 
130;Iron Man 3;2013;tt1300854;131;Shane Black
128;Jack Reacher;2012;tt0790724;130;Christopher McQuarrie
356;Jack Reacher: Kein Weg zurück;2016;tt3393786;118;Edward Zwick
127;Jack Ryan: Shadow Recruit;2014;tt1205537;106;Kenneth Branagh
129;Jack and the Giants;2013;tt1351685;114;Bryan Singer
126;Jarhead: Willkommen im Dreck;2005;tt0418763;123;Sam Mendes
344;Jason Bourne;2016;tt4196776;123;Paul Greengrass
468;Jim Knopf & Lukas der Lokomotivführer;2018;tt3072732;110;Dennis Gansel
125;John Wick;2014;tt2911666;101;Chad Stahelski
367;John Wick: Kapitel 2;2017;tt4425200;123;Chad Stahelski
27;Jurassic Park;1993;tt0107290;126;Steven Spielberg
29;Jurassic Park III;2001;tt0163025;92;Joe Johnston
26;Jurassic Park: Ultimate Trilogy;;;346;
124;Jurassic World;2015;tt0369610;124;Colin Trevorrow
464;Jurassic World: Das gefallene Königreich;2018;tt4881806;129;J.A. Bayona
428;Justice League;2017;tt0974015;120;Zack Snyder
388;Kampf der Kobolde;1999;tt0205214;178;John Henderson
239;Kampf der Titanen;2010;tt0800320;106;Louis Leterrier
121;Kill Bill: Volume 1;2003;tt0266697;111;Quentin Tarantino
120;Kill Bill: Volume 2;2004;tt0378194;137;Quentin Tarantino
119;Killer Elite;2011;tt1448755;116;Gary McKendry
123;Killing Them Softly;2012;tt1764234;101;Andrew Dominik
122;Kindsköpfe 2;2013;tt2191701;101;Dennis Dugan
406;King Arthur: Legend of the Sword;2017;tt1972591;126;Guy Ritchie
336;Kingsman: The Secret Service;2014;tt2802144;129;Matthew Vaughn
118;Knight and Day;2010;tt1013743;116;James Mangold
377;Kong: Skull Island;2017;tt3731562;118;Jordan Vogt-Roberts
345;Küss den Frosch;2009;tt0780521;98;Ron Clements
116;Last Vegas;2013;tt1204975;105;Jon Turteltaub
341;Legend of Tarzan;2016;tt0918940;110;David Yates
115;Legend: Aufstieg und Fall zweier berüchtigter Brüder;2015;tt3569230;131;Brian Helgeland
114;Les Misérables;2012;tt1707386;158;Tom Hooper
113;Lincoln;2012;tt0443272;150;Steven Spielberg
111;Lockout;2012;tt1592525;95;Steve Saint Leger
370;Logan: The Wolverine;2017;tt3315342;137;James Mangold
329;Lone Survivor;2013;tt1091191;121;Peter Berg
109;Love, Rosie - Für immer vielleicht;2014;tt1638002;103;Christian Ditter
110;Lucy;2014;tt2872732;89;Luc Besson
455;M:I-2;2000;tt0120755;123;John Woo
466;Madagascar;2005;tt0351283;0;Eric Darnell
108;Magic Mike;2012;tt1915581;110;Steven Soderbergh
107;Magic Mike XXL;2015;tt2268016;115;Gregory Jacobs
106;Maleficent: Die dunkle Fee;2014;tt1587310;97;Robert Stromberg
211;Man On Fire: Mann unter Feuer;2004;tt0328107;146;Tony Scott
105;Man of Steel;2013;tt0770828;143;Zack Snyder
